"phase","length","Pace","Slow"
"Death","Bouncer",NA,0.943396226415094
"Death","Full",3.77358490566038,3.77358490566038
"Death","Full toss",10.377358490566,1.88679245283019
"Death","Good length",8.49056603773585,10.377358490566
"Death","Short",4.71698113207547,2.83018867924528
"Death","Short of a good length",2.83018867924528,6.60377358490566
"Death","Slot",18.8679245283019,2.83018867924528
"Death","Yorker",16.9811320754717,4.71698113207547
"Early Middle","Bouncer",4.34782608695652,NA
"Early Middle","Full",4.34782608695652,NA
"Early Middle","Good length",23.9130434782609,6.52173913043478
"Early Middle","Short",2.17391304347826,6.52173913043478
"Early Middle","Short of a good length",10.8695652173913,4.34782608695652
"Early Middle","Slot",19.5652173913043,4.34782608695652
"Early Middle","Yorker",13.0434782608696,NA
"Late Middle","Bouncer",1.38888888888889,NA
"Late Middle","Full",4.16666666666667,9.72222222222222
"Late Middle","Full toss",8.33333333333333,1.38888888888889
"Late Middle","Good length",13.8888888888889,1.38888888888889
"Late Middle","Short",2.77777777777778,NA
"Late Middle","Short of a good length",16.6666666666667,11.1111111111111
"Late Middle","Slot",12.5,4.16666666666667
"Late Middle","Yorker",12.5,NA
